surface,chambres,distance_centre,annee_construction,prix
122,3,23.18161458472172,1991,285628
199,3,24.57658642276671,1967,484978
112,1,21.82556921056834,1978,179165
34,4,28.710187182693105,2022,-17935
126,5,1.5287448976144873,1997,470997
91,3,6.677561584822837,1962,279112
40,1,1.2193233743661214,2018,186996
122,5,19.776766710483486,1964,285968
141,4,27.04288591954962,1972,304151
94,3,8.06098660071268,2006,303501
107,5,27.884001799092893,2005,230846
136,5,2.7477543183972646,2020,535321
119,5,28.098644777359915,1990,251287
123,3,11.197057929949398,2014,368816
171,3,3.941204025027279,1975,577637
150,2,15.090281016403443,2009,440490
169,4,8.44652046389473,1991,548182
72,1,9.261314156895763,1981,176464
21,5,9.91140898286231,1988,84672
107,2,24.28775103714724,1981,189372
177,1,16.63567702358238,2002,442560
57,2,10.027923275524106,1962,137963
149,3,18.699679716016632,2013,371767
40,5,21.768369552472613,1969,40842
180,1,8.906096021272479,2001,524308
77,1,12.992923944235194,2021,188694
41,1,4.534696706771479,1980,127734
108,1,6.253331136505729,1975,367151
68,1,20.7524177649845,1971,86935
78,2,6.261712083173181,1961,257302
189,5,16.229738126344746,2000,607397
34,3,21.56234158995055,1983,2586
194,3,4.099430769747571,1994,655718
70,3,17.4520543692382,2015,135549
127,3,8.44032072733955,1989,396044
74,2,28.924879381889813,2016,48939
83,4,15.022823754877818,1989,211896
150,5,24.373783943479584,2006,420422
70,1,16.95656972253159,1994,122639
154,4,2.2589634527897555,1978,526210
40,3,19.361389892226647,2009,70099
92,4,28.590696923993054,1967,148279
186,5,18.446742784243604,1985,555279
37,1,24.756476923376916,2008,-80774
151,1,26.641987437103825,1999,343537
108,5,7.614313386519042,1966,351515
79,5,7.149300357338573,1989,300664
33,3,18.71844867667876,1966,54328
28,1,12.919825624394436,1962,45348
109,4,25.35597778313489,1960,186400
72,2,27.100670578542324,1995,32204
149,2,11.249219999778825,1984,457413
103,5,7.86924621025998,1996,362487
111,3,23.635239942071994,1960,201100
130,2,8.969375030895947,1974,393669
191,1,24.855815236896674,1996,442095
27,5,13.288409355814123,1972,75119
194,4,20.358947079452644,1999,538768
54,5,3.7705241012053774,1967,235583
100,4,19.091920415620617,1964,211373
183,5,14.101262683379645,2019,605779
69,5,18.01164543208875,1968,169659
123,5,5.872412024601039,2022,465546
151,4,22.36933860338128,1960,341891
21,4,26.021115248753627,1995,-29476
153,5,7.2854542026324935,1994,523042
73,2,3.77572211008469,1961,248455
125,3,1.6855189953437555,2022,456059
23,3,19.617173512854713,1999,-13619
73,3,18.605727046574643,1982,146696
165,4,16.85422496870803,1968,400767
63,4,7.726465787363287,1993,227937
181,2,12.336273881259926,2005,572316
33,3,18.239813720399017,1973,21977
114,3,15.406238906915911,1963,268895
67,5,29.64578008623173,1989,79732
34,4,4.95675282414526,1990,165335
59,3,21.15919206738022,1997,93275
101,2,12.725244275024473,1970,254915
130,2,13.417788832842827,1994,350814
72,3,21.81033520408711,1967,99491
43,4,21.08064838840672,1962,43910
173,2,29.74642381736346,1973,323986
143,5,4.723434394169631,2019,516875
60,2,4.019179832140823,1972,227758
176,1,22.005825696733492,2004,456837
34,1,17.773220593185865,1991,-32448
64,4,8.95065933023437,1993,187066
84,3,3.3031617006806115,2004,303962
108,4,3.4840892382964856,2020,425579
90,4,26.931535365259432,1978,104998
28,4,6.564152416843545,2018,124990
107,4,10.377775301350102,1997,328394
148,5,7.573035664582653,1975,522035
155,5,11.294892869126182,1961,447602
82,2,3.0132914396367076,1999,289644
158,1,16.05273393633984,1976,392305
100,4,2.9607643441742324,2014,412709
155,2,24.210338726848484,1993,360770
182,1,7.777650375402557,2001,543962
182,3,16.660345523530808,2019,540684
52,5,26.522293539282288,1975,28945
142,1,19.87544370236863,1997,348883
24,3,16.455775809988722,2019,14912
60,1,10.405678840345892,1961,145347
47,5,10.65705547868774,1961,149365
154,5,20.415121700747513,1985,482188
91,2,29.830041475413857,1972,87501
31,4,20.19333650563198,2015,32810
181,1,17.17571910373072,2006,470205
52,1,22.188864796938137,1990,18942
67,3,14.490962756227827,2019,118935
170,5,2.744127935422771,1993,622858
81,1,17.306607660459385,1998,181604
56,5,28.771133250656025,1962,32963
118,1,6.083785328372129,1967,321152
191,2,21.010141833799306,1982,468083
123,4,6.827076971112637,1973,356879
54,1,16.539002849719356,2015,102566
120,5,3.8036170397548688,2021,438940
194,2,14.060757151487369,2014,564739
150,1,22.928736537962138,1986,321495
20,3,11.07957420293048,2013,76617
24,4,20.282440010129324,1988,-9753
161,1,24.068048862902145,1998,372833
122,2,27.888156764904128,2012,234224
46,3,7.804620373808152,1998,175951
156,2,12.580161558469936,1960,423776
34,2,5.420064386582106,1976,140831
109,3,29.78202156259288,2000,135830
61,2,27.883028069804563,1989,33785
143,3,16.65875677813623,2012,377997
198,1,25.418965536916218,1972,441393
82,3,16.107781340889225,1980,199926
115,3,19.08398495208003,1978,280556
71,4,3.584608531364482,2012,296651
115,3,22.90284219440743,1978,211054
151,3,4.70369102542181,2016,547551
170,1,24.955961277323322,1984,353339
162,4,23.67881454244119,1981,384123
190,5,21.553596234546315,1990,538329
48,1,2.0486510352181013,1976,154476
55,1,9.79072232241453,2014,145839
32,5,8.630264527414443,1982,76225
179,3,11.443955816674054,1991,547434
90,2,3.5416396561513177,2021,324523
105,4,28.17177686790082,1969,164928
47,2,17.06026498065891,1969,6936
85,5,9.860205009082684,1995,281362
189,1,12.512463995154219,1967,522452
64,1,13.968873674640234,2013,127204
81,4,18.417235667457902,2011,160638
153,1,15.954703403198435,1979,418357
47,1,27.6623672232181,1991,-53176
47,4,15.411941004269078,2009,107160
127,4,29.772582429876067,1973,186529
63,5,25.691323774607778,2009,127466
103,1,7.046804916362738,1987,292394
49,1,27.98726122467357,2005,-27628
94,5,4.374625538678806,2011,388717
147,3,24.706041546244556,2012,330225
111,3,12.038075510820823,1983,334660
148,3,26.461255292907016,1974,272683
140,5,26.17364401311606,1981,335130
46,1,24.371836603411012,1989,13170
140,5,23.91088265290478,2022,351104
135,5,9.835695033843184,1963,452192
22,3,3.3466592084863134,1972,131305
122,2,12.686425184189682,2018,342811
174,1,6.032210934608751,1982,527791
156,3,21.15358157817139,1967,360505
81,2,11.03689206959578,1977,199210
184,2,29.29269582493753,1971,373651
70,4,19.58819024301463,2014,136312
191,1,24.851936345396467,1990,466361
171,2,4.8432155095136045,1973,529155
78,3,25.998419985906054,1993,108283
137,4,27.759958524888436,1977,285585
179,1,15.124795645749142,2015,524263
115,5,18.581335194778347,1993,300786
199,3,23.17948422618687,2022,534987
132,2,6.070320190551964,1970,424658
81,2,15.57441621743983,2000,214399
71,3,12.56122780539708,1971,166855
31,2,5.244845772705224,2008,98883
58,4,11.658498246454412,1974,138096
149,1,2.9769969721793137,2016,540710
150,4,1.7485453015351227,1990,568701
132,2,4.91982238548986,2008,436197
120,5,28.93033823608604,2017,294686
132,1,16.936356540955494,1988,313871
100,1,29.00884267344338,1985,129917
132,3,13.542438471573828,1977,367763
21,3,10.042667859472527,1991,55314
149,5,15.67811402236708,1981,442710
73,1,13.745838970354393,1997,148633
106,5,4.064275843590574,1976,411535
148,3,19.58396312601598,1982,387247
166,3,7.265107292778389,1983,550133
145,1,18.968050692037057,2009,358160
149,4,19.855831679546448,1967,363321
72,2,5.408720740730795,2000,271317
191,3,2.7791391862093766,1965,631215
179,3,23.642085995984754,1964,437944
179,4,14.334212289310285,2003,552333
87,4,2.686750069658798,2016,352054
142,5,29.851123197923247,1988,322899
164,5,2.6756362688946327,1987,613362
57,2,21.156021636898043,1970,43655
43,2,29.526688832638996,2016,-8104
88,1,7.936223022261843,1960,227772
135,5,5.125231691928689,2002,493733
117,3,4.520163243250438,1978,384485
158,5,9.794979279460271,1968,492770
163,3,3.930328519308754,1986,569041
116,4,21.072678909129824,1993,341556
143,5,2.806462145771818,2003,524413
89,4,15.773241716343902,1963,244420
112,2,29.904208761736328,1995,160148
22,2,24.605137815674546,1977,-88150
167,1,18.841363708699316,1974,440820
183,5,9.881355002811738,2010,585078
166,4,19.092979252457514,1972,417692
109,3,16.2842024534379,1978,270782
166,2,13.356418132820773,2008,491621
167,2,4.790600925465785,1965,537848
115,3,26.711522241973537,2007,230021
71,4,14.043754815818353,2015,203032
180,4,6.6440528428021866,1971,604078
187,5,11.6650211754414,2010,546806
147,5,13.009762823338884,1996,444305
58,1,24.998598971439353,1976,6738
101,2,22.27481703628066,2017,217592
123,5,23.309841915598856,1982,322916
148,4,1.3199066684307692,1985,517838
30,3,13.068465947213085,1988,79593
197,4,14.958980397424385,1992,577676
170,2,1.556576027868644,2019,588449
178,4,8.534583053605992,1986,585951
61,1,23.048404870541916,1984,33748
118,2,4.9761814661409725,2015,417492
26,3,16.523993812125156,2014,14915
163,1,7.240854288499888,1969,475382
109,2,1.351502464672905,2006,412027
131,3,7.994842270386703,1982,395978
79,1,29.30033889239156,1980,48375
132,1,24.244576244606698,1980,220233
21,2,28.82772268530997,2002,-76028
148,5,15.147767273864511,1972,457548
67,1,4.182349761647602,1996,268943
